Title,Artist,Album,Duration (ms)
Bag a Wire Dub,King Tubby,Jamaican Independence 50th Anniversary,184946
Bittersweet,"Charlie P, O.B.F",Bittersweet,208050
I Am a Levi,Ijahman Levi,Soul Warrior - I Am Levi,461933
Solomonic Rise,"Mafia & Fluxy, Patrixx Aba Ariginal",Soundsystem Dubwize,168706
Soul Rebel (Dub),The Wailers,Dub Marley,155144
Crisis,MIlton Henry,Branches and Leaves (Showcase Album),213354
No Bother Tax Me,Josey Wales,The Outlaw,240093
Champion Sound,Dubmatix,Atomic Subsonic,353506
Birthday Party,"Jim the Boss, The HiFi Rockers",Dub in HiFi,205006
Roll Dem (Roots Dub Mix),"Dubmatix, Gappy Ranks",Roll Dem (Versions),239744
Ancient Spliff,Count Dubula,The Rise Of Count Dubula,243000
Dem a Try to Divide Us,"Roll & Record, Peter Youthman",Dem a Try to Divide Us,275500
See Mi Yah,Rhythm & Sound,See Mi Yah,236186
Make Up Your Mind,"Coldcut, On-U Sound, Ce'Cile, Toddla T, Adrian Sherwood",Outside The Echo Chamber,200226
Brothers and Sisters,Butch Cassidy Sound System,Butches Brew,275893
Butches Brew Take Two,Butch Cassidy Sound System,Dubs and Rarities,202186
Park Lane Special,Pablo All Stars,Original Rockers,169960
Step It Up In Dub,The Aggrovators,Dubbing At King Tubby's,234200
Dragoon Badman Dub,"Dubtendo, GameChops",Dubtendo,159010
mother nature,"Roots LoFi, Cali Dubs, Flanør, Homson, Israel Vibration",Roots,106239
Pacific Echoes- Lofi Reggae,"Roots LoFi, 2f U-Flow, Flanør",Pacific Echoes - Lofi Reggae,97559
We Run The Scene - Sound System Mix,"Mr. Williamz, Reggae Roast",We Run The Scene (Sound System Mix),212000
Champagne,"Major Lazer, Machel Montano",Champagne,144672
Dub Box,"Voltage, Hurrian, Kenny Ken, Eccleton Jarrett, Dan-I",Dub Box / Gangsta Ish,212100
Some A Dem,"Brother Culture, Ondubground",Some A Dem,233341
