Title,Artist,Album,Duration (ms)
Underground,The Upsetters,Super Ape,176133
Loving Dub,"Dylan Judah, Scientist",Loving Dub,247261
Babylon Rule Dem,"Groundation, Don Carlos, The Congos",Hebron Gate,423706
That Dub - Doo Wop Mix,"Mungo's Hi Fi, Aziza Jaye",That Thing,200555
No Partial,Rhythm & Sound,Rhythm & Sound,375386
Match My Mood,"Sammy Virji, Spice, Flowdan",Same Day Cleaning,171521
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",177291
Rumble,"Skrillex, Fred again.., Flowdan",Quest For Fire,146571
Under Arrest - Prince Fatty Mix,"Prince Fatty, Mungo's Hi Fi",Prince Fatty Versus Mungo's Hi Fi,259733
Mountains Dub,"Alpha Steppa, Nai-Jah",Mountains Move,150535
On The Rhodes,Kanka,Abracadabra (Chapter 3),234428
Fyah Ina Babylon,"Linval Thompson, Roberto Sanchez, Lone Ark Riddim Force",Fyah Ina Babylon,226719
Memoria,Miniman,Memoria,196213
Bomboclaat,"Skarra Mucci, Perfect Giddimani, Irie Ites",Stop That Sound Riddim,190249
Soma,"Mungo's Hi Fi, Marina P",Soul Radio,278665
King Ina Di Ring,"Roll & Record, William Spring, Pili Boyo",The Hidden Treasures of William Spring,206208
Direction Dub,Jalifa,Incient Ras,192720
Evolutionary Rockers,"Addis Pablo, Earl Sixteen",In My Fathers House,234021
Snake in the Grass,"Lone Ark, The 18th Parallel",Showcase Vol. 1,231008
morning prayer (riddim),Roots Makers,Roots Makers,290112
Do For Dub,Keith & Tex,Do For Dub,188925
Return of the Living Dead,"Joe Yorke, The Co-Operators",Living Dead,187564
Dubancholik - Original Mix,Lo-End Dub,Meltdown Dubs 11: Moments EP,360000
