Title,Artist,Album,Duration (ms),,,,,,,,,,,,,,,,,,Valence,Tempo,Time Signature
Rock It Ina Dub,"Scientist, Hempress Sativa",Scientist Meets Hempress Sativa in Dub,252466,,,,,,,,,,,,,,,,,,0.398,136.977,4
Bad Man Story,Buccaneer,Da Opera,175133,,,,,,,,,,,,,,,,,,0.597,77.175,4
Time Is Serious,Ninjaman,Reggae Anthology: Anything Test Dead,230933,,,,,,,,,,,,,,,,,,0.828,83.119,4
Serious Time,"Mungo's Hi Fi, YT Reggae",Serious Time,257700,,,,,,,,,,,,,,,,,,0.803,95.009,4
Ghetto Story Chapter 2 (feat. Alicia Keys),"Cham, Alicia Keys",Ghetto Story (Explicit Content U.S. Version),285480,,,,,,,,,,,,,,,,,,0.675,103.239,5
One Blood,Junior Reid,One Blood,204614,,,,,,,,,,,,,,,,,,0.967,167.297,4
Boom Shak A-Tack,Born Jamericans,The Best Of Born Jamericans,249333,,,,,,,,,,,,,,,,,,0.59,173.375,4
Weapon Of Dub,"Simma, YT Reggae, Escape Roots",Weapon Of Choice,219938,,,,,,,,,,,,,,,,,,0.741,127.98,4
Bad Boys and Police,Buju Banton,Bad Boys and Police,141087,,,,,,,,,,,,,,,,,,0.893,132.024,4
Sixteen Tons of Pressure,"O.B.F, Charlie P",Sixteen Tons of Pressure,235796,,,,,,,,,,,,,,,,,,0.226,72.045,4
"Sound Killa, Pt. 2 (Featuring SHY FX & Specialist Moss)","Mr. Williamz, Specialist Moss, SHY FX","Sound Killa, Pt. 2",168965,,,,,,,,,,,,,,,,,,0.557,173.902,4
Tell Dem,"Voltage, Strategy, Specialist Moss",Tell Dem,164571,,,,,,,,,,,,,,,,,,0.376,87.327,4
Asking Dub,"Alpha Steppa, Nai-Jah",Asking Why,155747,,,,,,,,,,,,,,,,,,0.909,128.015,4
Dub Taking Over,"Alpha Steppa, Nai-Jah, Pupajim, Ras Tinny",Nature Taking Over,157635,,,,,,,,,,,,,,,,,,0.438,133.961,4
Holy Cow,"Dub Dynasty, Alpha Steppa, Alpha & Omega, Ras Tinny",Holy Cow,189197,,,,,,,,,,,,,,,,,,0.557,137.018,4
Jericho,Dubcreator,Relick Series Hornified,183619,,,,,,,,,,,,,,,,,,0.654,182.141,4
Long Long Road (Never Walk Dub),"Hi Grade Hi-Fi, Richie Culture",Long Long Road (Never Walk Dub),288131,,,,,,,,,,,,,,,,,,0.407,79.98,4
Here Comes Trouble,Chronixx,Dread & Terrible,234586,,,,,,,,,,,,,,,,,,0.786,83.495,4
Welcome To Jamrock,Damian Marley,Welcome to Jamrock,213200,,,,,,,,,,,,,,,,,,0.753,76.71,4
The Herb,"King Kong, Massive B, Bobby Konders",The Herb,225365,,,,,,,,,,,,,,,,,,0.776,81.997,4
In Bloom (feat. Lila Iké),"Protoje, Lila Iké",In Search Of Lost Time,227613,,,,,,,,,,,,,,,,,,0.888,109.996,4
Cool Runnings,Duane Stephenson,Dangerously Roots - Journey From August Town,234800,,,,,,,,,,,,,,,,,,0.766,73.241,4
Nu Beginingz,Congo Natty,Jungle Revolution,206866,,,,,,,,,,,,,,,,,,0.624,158.117,4
Soon Come (feat. Liam Bailey),"SHY FX, Liam Bailey",Soon Come (feat. Liam Bailey),185359,,,,,,,,,,,,,,,,,,0.795,79.968,4
Golden Hen,Tenor Saw,Tenor Saw Meets Nitty Gritty,225120,,,,,,,,,,,,,,,,,,0.358,85.679,4
